category,subcategory,chemical_type,name_cn,name_en,cas,threshold,flavor,source
五、发酵食品 Fermented Foods,酱油,吡嗪类,"2,3,5-三甲基吡嗪","2,3,5-trimethylpyrazine",14667-55-1,约 0.19–3067 μg/L（水/乙醇体系）,坚果、烘烤土豆、烤花生、可可、焦香,红茶、黑茶、绿茶、白茶、白酒（浓香型、陈酿）、蚝油、酱油、食醋（山西老陈醋）、白酒（浓香型）、醋、米酒/黄酒、咖啡、可可、酿造醋、黄酒、白酒（各香型）
五、发酵食品 Fermented Foods,米酒/黄酒,其他,"2,3,5,6-四甲基吡嗪","2,3,5,6-Tetramethylpyrazine",1124-11-4,"1,000 μg/L（水）",弱坚果、土腥、巧克力,红茶、黑茶、白酒（浓香型、陈酿）、米酒/黄酒
五、发酵食品 Fermented Foods,酱油,吡嗪类,"2-乙基-3,5-二甲基吡嗪","2-Ethyl-3,5-dimethylpyrazine",13925-07-0,约 0.16 μg/L（水/食品基质）,坚果香、烘烤香、可可香、泥土香,绿茶、酱油、咖啡、可可、烘烤食品、蚝油
五、发酵食品 Fermented Foods,酱油,吡嗪类,乙基吡嗪,"2,5-dimethyl-3-ethylpyrazine",13360-65-1,4 μg/L（原文引用嗅觉阈值；用于茶叶OAV计算）,坚果、烘烤,花茶（茉莉花茶）、茶叶（黄茶）、酱油、食醋（山西老陈醋）、蚝油
五、发酵食品 Fermented Foods,酱油,含硫化合物,二甲基三硫醚,Dimethyl trisulfide,3658-80-8,约 0.01 μg/L（水）；空气中约 1 ppt,硫化物味、熟洋葱、熟卷心菜、肉香、硫化气息,绿茶、红茶、黑茶、牛肉汤、白酒（浓香型）、米酒/黄酒、酱油、鸡肉汤、肉类高汤、熟肉、洋葱、发酵食品
五、发酵食品 Fermented Foods,酱油,含硫化合物,二甲基二硫醚,Dimethyl disulfide,624-92-0,1.10 μg/l（原文引用嗅觉阈值；用于茶叶OAV计算）,洋葱、大蒜、卷心菜、硫化物味、烤香,黑茶、牛肉汤、白酒（浓香型）、茶叶（红茶）、酱油、鸡肉汤、蚝油、肉类高汤、洋葱、大蒜
五、发酵食品 Fermented Foods,蚝油,含硫化合物,苯甲硫醇,Benzenemethanethiol,100-53-8,约 0.01–0.1 μg/L（水/食品基质）,大蒜、洋葱、硫香、烤香,绿茶、蚝油、牡蛎酶解液、咖啡、烘烤食品
五、发酵食品 Fermented Foods,米酒/黄酒,其他,Hexyl acetate,Hexyl acetate,142-92-7,2.9 ppb（水）,梨、苹果、香蕉,红茶、白茶、白酒（浓香型）、米酒/黄酒
五、发酵食品 Fermented Foods,食醋,其他,水杨酸甲酯,Methyl salicylate,119-36-8,290 μg/L（气相）,杏仁、焦糖、薄荷、甜、柑橘,红茶、米酒/黄酒、茶叶（白茶）、茶叶（红茶）、茶叶（黄茶）、茶汤（红茶冲泡液）、食醋（山西老陈醋）
五、发酵食品 Fermented Foods,酱油,酯类,丁酸乙酯,Methyl butanoate,623-42-7,约 81.5 μg/L（水/乙醇体系）；300 mg/L,醚味、果香、杏仁、带玫瑰和奶油底,黑茶、米酒/黄酒、白酒（浓香型）、酱油、白酒（浓香型、董香型等）、黄酒、水果、乳制品
五、发酵食品 Fermented Foods,食醋,其他,二氢猕猴桃内酯,Dihydroactinidiolide,17092-92-1,2.1 μg/L,果香,绿茶、白茶、茶叶（红茶）、食醋（山西老陈醋）
五、发酵食品 Fermented Foods,食醋,其他,2-甲基呋喃,2-methyl-furan,534-22-5,200 mg/kg（茶汤）,溶剂样、霉土、土腥、发酵香蕉、烧焦奶酪,黑茶、食醋（山西老陈醋）
五、发酵食品 Fermented Foods,酱油,醛类,2-苯基乙醛,2-phenylethanal,122-78-1,约 4–262 μg/L（水/乙醇体系）,花香、蜂蜜香、青香、风信子香,红茶、白酒（浓香型、陈酿）、米酒/黄酒、茶叶（白茶）、茶叶（红茶）、食醋（山西老陈醋）、牛肉汤、白酒（浓香型）、酱油、鸡肉汤、蜂蜜、酿造醋、蚝油
五、发酵食品 Fermented Foods,酱油,醇类,2-苯乙醇,2-phenylethanol,60-12-8,"约 772–28,900 μg/L（水/乙醇体系）",蜂蜜味、香料香、玫瑰花香、丁香花香,绿茶、白茶、乌龙茶、红茶、白酒（浓香型）、酱油、茶叶（白茶）、茶叶（红茶）、食醋（山西老陈醋）、米酒/黄酒、醋、葡萄酒、白酒（浓香型、米香型等）、黄酒、米酒
五、发酵食品 Fermented Foods,酱油,其他,柠檬烯（苧烯）,Limonene,138-86-3,0.038 ppm（水）,柠檬样、松木样、柑橘果皮香气,柑橘类精油（综述）、茶叶（白茶）、茶汤（红茶冲泡液）、酱油
五、发酵食品 Fermented Foods,米酒/黄酒,萜烯类,芳樟醇（沉香醇）,Linalool,78-70-6,约 6–19 μg/L（水/乙醇体系）,花香、柑橘香、薰衣草香、甜香,柑橘类精油（综述）、白酒（浓香型、陈酿）、茶叶（白茶）、茶叶（红茶）、茶叶（黄茶）、茶汤（红茶冲泡液）、米酒/黄酒、白酒、香料
五、发酵食品 Fermented Foods,食醋,其他,反式-芳樟醇氧化物,Trans-Linalool oxide,34995-77-2,,花香、泥土、樟脑样,食醋（山西老陈醋）
五、发酵食品 Fermented Foods,食醋,其他,α-松油醇,Α-terpineol,98-55-5,404 * μg/L（原文引用嗅觉阈值；用于茶叶OAV计算）,花香、丁香、甜香,柑橘类精油（综述）、橙汁（鲜榨）、茶叶（白茶）、茶叶（红茶）、茶叶（黄茶）、食醋（山西老陈醋）
五、发酵食品 Fermented Foods,食醋,其他,1-辛醇,1-octanol,111-87-5,1100 μg/l（乙醇-水体系）,柑橘、脂肪、蜡质,柑橘类精油（综述）、白酒（浓香型）、米酒/黄酒、茶叶（白茶）、食醋（山西老陈醋）、白酒（浓香型、陈酿）
五、发酵食品 Fermented Foods,米酒/黄酒,其他,香茅醇,Citronellol,106-22-9,10–50 ppb；40 μg/L,花香、玫瑰样、柑橘样、蜡质,米酒/黄酒、茶叶（白茶）
五、发酵食品 Fermented Foods,米酒/黄酒,其他,香叶醇,Geraniol,106-24-1,约 40 μg/L；14 ng/L,甜花香、玫瑰样、柑橘样、蜡质,柑橘类精油（综述）、米酒/黄酒、茶叶（白茶）、茶叶（红茶）、茶叶（黄茶）、茶汤（红茶冲泡液）
五、发酵食品 Fermented Foods,酱油,醛类,乙醛,Acetaldehyde,75-07-0,"约 2,500 mg/L（水/乙醇体系）",刺激性气味、甜香、青香、溶剂味,牛肉汤、米酒/黄酒、鸡肉汤、白酒（各香型）、黄酒、米酒、酱油、熟肉
五、发酵食品 Fermented Foods,米酒/黄酒,其他,己醛,Hexanal,66-25-1,990.0 mg/l；2.40 μg/l（原文引用嗅觉阈值；用于茶叶OAV计算）,青草、绿叶、青香,牛乳、牛肉汤、白酒（浓香型）、米酒/黄酒、茶叶（白茶）、茶叶（红茶）、茶汤（红茶冲泡液）、鸡肉汤
五、发酵食品 Fermented Foods,食醋,其他,庚醛,Heptanal,111-71-7,3.0 ppb（水）,脂肪、青草、绿色,奶油（鲜奶油香气模型）、牛肉汤、米酒/黄酒、茶叶（白茶）、茶叶（黄茶）、茶汤（红茶冲泡液）、食醋（山西老陈醋）、鸡肉汤
五、发酵食品 Fermented Foods,酱油,其他,辛醛,Octanal,124-13-0,0.7–1 μg/L,柑橘、脂肪、橙皮香,柑橘类精油（综述）、橙汁（鲜榨）、牛乳、牛肉汤、米酒/黄酒、茶叶（白茶）、蚝油、酱油、食醋（山西老陈醋）、鸡肉汤
五、发酵食品 Fermented Foods,酱油,其他,壬醛,Nonaldehyde,124-19-6,1.0 ppb（水）,脂肪、柑橘、绿色,米酒/黄酒、柑橘类精油（综述）、牛肉汤、白酒（浓香型）、茶叶（白茶）、茶汤（红茶冲泡液）、蚝油、酱油、鸡肉汤、黄油
五、发酵食品 Fermented Foods,米酒/黄酒,其他,癸醛,Capraldehyde,112-31-2,0.1–2 μg/L；3.02 μg/kg,柑橘、橙皮、蜡质、花香,米酒/黄酒、柑橘类精油（综述）、橙汁（鲜榨）、牛肉汤、白酒（浓香型）、茶叶（白茶）、茶叶（黄茶）、茶汤（红茶冲泡液）、鸡肉汤、黄油
五、发酵食品 Fermented Foods,酱油,醛类,苯甲醛,Benzaldehyde,100-52-7,4203 μg/l（乙醇-水体系）；160.0 mg/l,刺激性杏仁香,白酒（浓香型）、白酒（浓香型、陈酿）、米酒/黄酒、茶叶（白茶）、茶叶（红茶）、茶叶（黄茶）、茶汤（红茶冲泡液）、蚝油、酱油、食醋（山西老陈醋）、黄油
五、发酵食品 Fermented Foods,酱油,其他,2-甲基丁酸乙酯,Ethyl 2-methylbutanoate,7452-79-1,约 0.1 μg/L,果香、浆果、苹果,白酒（浓香型）、白酒（浓香型、陈酿）、米酒/黄酒、酱油
五、发酵食品 Fermented Foods,酱油,酯类,乙酸乙酯,Ethyl acetate,141-78-6,"32,600 a μg/L（水/乙醇体系）；7,500 mg/L",果香、菠萝香、清辣、溶剂味、甜香,白酒（浓香型）、米酒/黄酒、酱油、食醋（山西老陈醋）、白酒（清香型、浓香型等）、黄酒、米酒、水果、发酵食品
五、发酵食品 Fermented Foods,酱油,酯类,己酸乙酯,Ethyl hexanoate,123-66-0,约 55.3 μg/L（水/乙醇体系）；46%vol 白酒中约 1.52 mg/L,果香、窖香、菠萝香、甜香、浓郁果香,白酒（浓香型）、米酒/黄酒、茶叶（白茶）、茶叶（黄茶）、酱油、白酒（浓香型、酱香型、兼香型等）、黄酒、水果
五、发酵食品 Fermented Foods,酱油,酯类,辛酸乙酯,Ethyl caprylate,106-32-1,约 12.9 μg/L（水/乙醇体系）；5 mg/L,果香、花香、菠萝香、甜香、脂肪香,米酒/黄酒、黄油、白酒（浓香型）、茶叶（白茶）、茶叶（黄茶）、酱油、白酒（浓香型、酱香型等）、黄酒、水果、乳制品
五、发酵食品 Fermented Foods,白酒,其他,Octyl acetate,Octyl acetate,112-14-1,,柑橘样、甜香,白酒（浓香型）
五、发酵食品 Fermented Foods,食醋,其他,反式-β-紫罗兰酮,Trans-β-ionone,79-77-6,0.007 ppb（空气）；0.021 μg/L（水）,花香、紫罗兰、木质、果香,茶叶（白茶）、食醋（山西老陈醋）、白酒（浓香型）、茶叶（红茶）、茶叶（黄茶）、茶汤（红茶冲泡液）
五、发酵食品 Fermented Foods,酱油,酮类,1-辛烯-3-酮,1-octen-3-one,4312-99-6,约 0.03–0.1 μg/L（水）,蘑菇香、金属味、泥土香、青香,米酒/黄酒、酱油、食醋（山西老陈醋）、蚝油、牡蛎、蘑菇、海鲜、发酵食品
五、发酵食品 Fermented Foods,米酒/黄酒,其他,"1,1-二乙氧基乙烷（乙醛缩二乙醇）","1,1-diethoxyethane",105-57-7,2090 a μg/L（水/乙醇体系）,果香,白酒（浓香型）、米酒/黄酒
五、发酵食品 Fermented Foods,米酒/黄酒,酯类,2-丁烯酸乙酯,2-Butenoic acid ethyl ester,623-70-1,2.50 mg/L,,米酒/黄酒
五、发酵食品 Fermented Foods,食醋,其他,Acetyl valeryl,Acetyl valeryl,96-04-8,,奶酪香,食醋（山西老陈醋）
五、发酵食品 Fermented Foods,食醋,其他,夹竹桃麻素（乙酰香草酮）,Apocynin,498-02-2,50.2 mg/L,香草香,食醋（山西老陈醋）、米酒/黄酒
五、发酵食品 Fermented Foods,酱油,其他,di-epi-cedrene,Di-epi-cedrene,,,甜香,酱油
五、发酵食品 Fermented Foods,米酒/黄酒,其他,四乙二醇二乙醚,Four ethylene glycol diethyl ether,,,,米酒/黄酒
五、发酵食品 Fermented Foods,米酒/黄酒,其他,土臭素（土味素）,Geosmin,19700-21-1,10 mg/L,泥土香、霉味,白酒（浓香型）、米酒/黄酒
五、发酵食品 Fermented Foods,米酒/黄酒,其他,Heterocycles,Heterocycles,156002-64-1,,,米酒/黄酒
五、发酵食品 Fermented Foods,米酒/黄酒,其他,N-丙基苯甲酰胺,N -Propylbenzamide,,,,米酒/黄酒
五、发酵食品 Fermented Foods,酱油,内酯类,索托隆,Sotolon,28664-35-9,约 2.5–10 μg/L（水）；清酒/黄酒中约 9–19 μg/L,焦糖香、咖喱香、枫糖香、核桃香、烘焙香,米酒/黄酒、酱油、清酒、黄酒、雪莉酒、咖啡、葫芦巴
五、发酵食品 Fermented Foods,酱油,其他,苯乙烯,Styrene,124-07-2,2700 a μg/L（水/乙醇体系）；2701.23 μg/L（乙醇-水体系）；500 mg/L,香脂香、汽油味、甜香花香、甜香、花香,牛乳（奶粉）、米酒/黄酒、茶叶（白茶）、茶叶（红茶）、茶叶（黄茶）、酱油、黄油、白酒（浓香型）、白酒（浓香型、陈酿）
五、发酵食品 Fermented Foods,米酒/黄酒,内酯类,2-Hydroxy-γ-butyrolactone,2-Hydroxy-γ-butyrolactone,,,,米酒/黄酒
五、发酵食品 Fermented Foods,食醋,内酯类,4-Hexanolide,4-hexanolide,695-06-7,12500 μg/L（乙醇-水体系）,草本香,食醋（山西老陈醋）、白酒（浓香型、陈酿）、白酒（浓香型）、茶叶（白茶）
五、发酵食品 Fermented Foods,食醋,内酯类,Butyrolactone,Butyrolactone,96-48-0,,奶油香,食醋（山西老陈醋）
五、发酵食品 Fermented Foods,米酒/黄酒,内酯类,Dehydromevalonic lactone,Dehydromevalonic lactone,2381-87-5,,,米酒/黄酒
五、发酵食品 Fermented Foods,食醋,内酯类,Nonan-4-olide,Nonan-4-olide,104-61-0,约 90.7 μg/L（乙醇-水体系）,椰子香、桃香、甜香、奶香,白酒（浓香型、陈酿）、白酒（浓香型）、米酒/黄酒、食醋（山西老陈醋）、酿造醋、乳制品、水果
五、发酵食品 Fermented Foods,米酒/黄酒,内酯类,γ-丁内酯,Γ-butyrolactone,104224-63-7,"16,000 mg/L；50 μg/L（原文引用嗅觉阈值；用于茶叶OAV计算）",黄油香、奶油香、油脂香,米酒/黄酒、茶叶（红茶）
五、发酵食品 Fermented Foods,食醋,内酯类,γ-Heptalactone,γ-Heptalactone,,,焦糖香,食醋（山西老陈醋）
五、发酵食品 Fermented Foods,食醋,内酯类,γ-辛内酯,Γ-octanoic lactone,104-50-7,0.007 ppm（水中香气检测阈值；鲜奶油感知模型）,其他特征、椰子香、奶油香、甜香、脂肪香,奶油（鲜奶油香气模型）、食醋（山西老陈醋）、米酒/黄酒、酿造醋、乳制品、水果
五、发酵食品 Fermented Foods,食醋,吡嗪类,"2,3-二甲基-5-(Z-1-丙烯基)吡嗪","2,3-dimethyl-5-(z-1-propenyl)-pyrazine",,,异臭,食醋（山西老陈醋）
五、发酵食品 Fermented Foods,米酒/黄酒,吡嗪类,"2,3-二甲基吡嗪","2,3-dimethylpyrazine",5910-89-4,,坚果香、烘烤香,米酒/黄酒
五、发酵食品 Fermented Foods,蚝油,吡嗪类,"2,5-二甲基-3-(3-甲基丁基)吡嗪","2,5-dimethyl-3-(3-methylbutyl)-pyrazine",,,,蚝油
五、发酵食品 Fermented Foods,食醋,吡嗪类,"2,5-二甲基-3-异戊基吡嗪","2,5-dimethyl-3-isoamylpyrazine",18433-98-2,,霉土味,食醋（山西老陈醋）
五、发酵食品 Fermented Foods,蚝油,吡嗪类,"2,6-二乙基吡嗪","2,6-diethyl-pyrazine",13067-27-1,,,蚝油
五、发酵食品 Fermented Foods,酱油,吡嗪类,甲基吡嗪,2-acetyl-3-methylpyrazine,23787-80-6,,青香、其他特征,蚝油、酱油
五、发酵食品 Fermented Foods,酱油,吡嗪类,2-乙基-3-甲基吡嗪,2-ethyl-3-methylpyrazine,15707-23-0,,焦糖香、烘烤香土豆香,酱油
五、发酵食品 Fermented Foods,蚝油,吡嗪类,2-乙基-5-甲基吡嗪,2-ethyl-5-methylpyrazine,13360-64-0,0.036 mg/kg（蚝油/相关酶解物基质；原文引用阈值）,,蚝油
五、发酵食品 Fermented Foods,蚝油,吡嗪类,2-乙基-6-甲基吡嗪,2-ethyl-6-methylpyrazine,13925-03-6,0.04 mg/kg（蚝油/相关酶解物基质；原文引用阈值）,,蚝油
五、发酵食品 Fermented Foods,酱油,吡嗪类,2-异丁基-3-甲氧基吡嗪,2-isobutyl-3-methoxypyrazine,24683-00-9,,泥土香,酱油
五、发酵食品 Fermented Foods,酱油,吡嗪类,2-异丙基-3-甲氧基吡嗪,2-isopropyl-3-methoxypyrazine,25773-40-4,,泥土香、其他特征-,酱油
五、发酵食品 Fermented Foods,酱油,吡嗪类,2-甲基吡嗪,2-methylpyrazine,109-08-0,6.4 mg/L；60 μg/L（原文引用嗅觉阈值；用于茶叶OAV计算）；27 mg/kg（蚝油/相关酶解物基质；原文引用阈值）,坚果香,米酒/黄酒、茶叶（红茶）、蚝油、酱油
五、发酵食品 Fermented Foods,酱油,吡嗪类,"2,3,5,6-四甲基吡嗪（川芎嗪）",Tetramethyl-pyrazine,1124-11-4,"约 20.7–80,000 μg/L（水/乙醇体系）",坚果香、烘烤香、焦香、可可香,食醋（山西老陈醋）、白酒（浓香型、陈酿）、米酒/黄酒、牛肉汤、白酒（浓香型）、鸡肉汤、酿造醋、黄酒、酱油、可可、咖啡、酱香型等）、醋
五、发酵食品 Fermented Foods,食醋,含氮杂环/其他含氮化合物,1-(2-呋喃基甲基)-1H-吡咯,1-(2-furanylmethyl)-1h-pyrrole,1438-94-4,,咖啡香,食醋（山西老陈醋）
五、发酵食品 Fermented Foods,食醋,含氮杂环/其他含氮化合物,1H-吡咯-2-甲醛,1h-pyrrole-2-carboxaldehyde,1003-29-8,,脂肪香、烘烤香,食醋（山西老陈醋）
五、发酵食品 Fermented Foods,酱油,含氮杂环/其他含氮化合物,2-乙酰基-1-吡咯啉,2-acetyl-1-pyrroline,85213-22-5,约 0.02–0.1 μg/L（水）；空气中约 0.02 ng/L,其他特征米饭香、其他特征、熟米饭香、爆米花香,牛肉汤、米酒/黄酒、酱油、鸡肉汤、香米、面包、烘烤食品
五、发酵食品 Fermented Foods,蚝油,含氮杂环/其他含氮化合物,2-乙酰基吡咯,2-acetylpyrrole,1072-83-9,- μg/L（原文引用嗅觉阈值；用于茶叶OAV计算）；>2 mg/kg（蚝油/相关酶解物基质；原文引用阈值）,米饭香、爆米花香、烘烤香、坚果香,牛肉汤、米酒/黄酒、蚝油、鸡肉汤、食醋（山西老陈醋）
五、发酵食品 Fermented Foods,酱油,含氮杂环/其他含氮化合物,3-acetyl-1-pyrroline,3-acetyl-1-pyrroline,,,其他特征、爆米花香,酱油
五、发酵食品 Fermented Foods,米酒/黄酒,含氮杂环/其他含氮化合物,吡啶,Ethyl 3-pyridinecarboxylate,614-18-6,,,米酒/黄酒
五、发酵食品 Fermented Foods,蚝油,含氮杂环/其他含氮化合物,噻唑,Thiazole,288-47-1,,坚果香,蚝油
五、发酵食品 Fermented Foods,酱油,含硫化合物,2-(甲硫基)乙醇,2-(methylthio)ethanol,5271-38-5,,肉香-,酱油
五、发酵食品 Fermented Foods,酱油,含硫化合物,2-呋喃甲硫醇,2-furanmethanethiol,98-02-2,,焦糖香、甜香,酱油
五、发酵食品 Fermented Foods,酱油,含硫化合物,2-甲基噻吩,2-methylthiophene,554-14-3,,含硫气味、熟蔬菜味,酱油
五、发酵食品 Fermented Foods,米酒/黄酒,含硫化合物,2-Thiophenecarboxaldehyde,2-thiophenecarboxaldehyde,98-03-3,253 mg/L,硫磺气味,白酒（浓香型）、米酒/黄酒
五、发酵食品 Fermented Foods,食醋,含硫化合物,3-(甲硫基)-1-丙醇,3-(methylsulfanyl)propan-1-ol,505-10-2,"2110.41 μg/L（乙醇-水体系）；1,000 mg/L",肉香、洋葱味,白酒（浓香型、陈酿）、米酒/黄酒、食醋（山西老陈醋）
五、发酵食品 Fermented Foods,酱油,含硫化合物,3-甲硫基丙醇（甲硫醇）,3-(methylthio)propanol (methionol),,,土豆香,酱油
五、发酵食品 Fermented Foods,食醋,含硫化合物,乙酸丙酯,3-(methylthio)propyl acetate,16630-55-0,,果香、脂肪香,食醋（山西老陈醋）
五、发酵食品 Fermented Foods,酱油,含硫化合物,甲基-2-甲基-3-呋喃基二硫醚,Methyl 2-methyl-3-furyl disulfide,65505-17-1,,肉香-,酱油
五、发酵食品 Fermented Foods,食醋,含硫化合物,硫代乙酸甲酯,Methyl thiolacetate,1534-08-3,,洋葱味,食醋（山西老陈醋）
五、发酵食品 Fermented Foods,食醋,呋喃/呋喃酮类,2(5H)-呋喃酮,2(5h)-furanone,497-23-4,,黄油香、酒香,白酒（浓香型）、食醋（山西老陈醋）
五、发酵食品 Fermented Foods,食醋,呋喃/呋喃酮类,"2,3-二氢苯并呋喃","2,3-dihydro-benzofuran",496-16-2,,坚果香,食醋（山西老陈醋）
五、发酵食品 Fermented Foods,酱油,呋喃/呋喃酮类,呋喃酮（HDMF）,"4-Hydroxy-2,5-dimethyl-3(2H)-furanone (HDMF/Furaneol)",3658-77-3,约 5–25 μg/L（水）；酱油基质中阈值极低,焦糖香、甜香、草莓香、烘烤香,酱油（中日韩高盐稀态/固稀发酵）、味噌、咖啡、草莓
五、发酵食品 Fermented Foods,酱油,呋喃/呋喃酮类,"2,5-二甲基呋喃","2,5-dimethylfuran",625-86-5,,溶剂味,酱油
五、发酵食品 Fermented Foods,酱油,呋喃/呋喃酮类,2-乙酰基-5-甲基呋喃,2-acetyl-5-methylfuran,1193-79-9,,植物叶片香、坚果香、可可香、甜香、果香,米酒/黄酒、酱油、食醋（山西老陈醋）
五、发酵食品 Fermented Foods,酱油,呋喃/呋喃酮类,2-乙酰基呋喃,2-acetylfuran,1192-62-7,,焦糖香、甜香、烟熏香、香脂香,米酒/黄酒、蚝油、酱油、食醋（山西老陈醋）
五、发酵食品 Fermented Foods,酱油,呋喃/呋喃酮类,2-戊基呋喃,2-amylfuran,3777-69-3,6 mg/L；4.8 μg/L（原文引用嗅觉阈值；用于茶叶OAV计算）；0.0058 mg/kg（蚝油/相关酶解物基质；原文引用阈值）,青香、泥土香、豆香、油脂香,蚝油、食醋（山西老陈醋）、白酒（浓香型）、米酒/黄酒、茶叶（红茶）、酱油、酿造醋、植物油、豆类、发酵食品
五、发酵食品 Fermented Foods,蚝油,呋喃/呋喃酮类,2-乙基呋喃,2-ethyl furan,3208-16-0,100 μg/L（原文引用嗅觉阈值；用于茶叶OAV计算）；8 mg/kg（蚝油/相关酶解物基质；原文引用阈值）,,蚝油
五、发酵食品 Fermented Foods,食醋,醇类,2-呋喃甲醇,2-furan methanol,4412-91-3,2000 mg/L,柔和香气、温暖香调、油脂香、焦香、熟制香糖香,米酒/黄酒、食醋（山西老陈醋）
五、发酵食品 Fermented Foods,米酒/黄酒,呋喃/呋喃酮类,2-呋喃丙烯醛,2-furanacrolein,39511-08-5,,,米酒/黄酒
五、发酵食品 Fermented Foods,酱油,醇类,糠醇,"2-furanmethanol, acetate",623-17-6,"54,700 μg/L（乙醇-水体系）；4.5 μg/L（原文引用嗅觉阈值；用于茶叶OAV计算）；15 mg/kg（蚝油/相关酶解物基质；原文引用阈值）",甜香、焦糖香,食醋（山西老陈醋）、白酒（浓香型、陈酿）、茶叶（红茶）、蚝油、牛乳、白酒（浓香型）、酱油、黄油、米酒/黄酒
五、发酵食品 Fermented Foods,蚝油,呋喃/呋喃酮类,2-丙基-呋喃,2-propyl-furan,4229-91-8,,青香,蚝油
五、发酵食品 Fermented Foods,酱油,呋喃/呋喃酮类,麦芽酚（3-羟基-2-甲基-4H-吡喃-4-酮）,3-hydroxy-2-methyl-4-pyranone (maltol),,,焦糖香,酱油、米酒/黄酒
五、发酵食品 Fermented Foods,酱油,呋喃/呋喃酮类,3-甲基-2(5H)-呋喃酮,3-methyl-2(5H)-furanone,,,焦糖香,酱油
五、发酵食品 Fermented Foods,酱油,呋喃/呋喃酮类,3-苯基呋喃,3-phenylfuran,13679-41-9,,青豆香,酱油
五、发酵食品 Fermented Foods,食醋,呋喃/呋喃酮类,4-(2-呋喃基)-3-丁烯-2-酮,4-(2-furanyl)-3-buten-2-one,108811-61-6,,草本香、花香,食醋（山西老陈醋）
五、发酵食品 Fermented Foods,酱油,呋喃/呋喃酮类,4-羟基-5-甲基-3(2H)-呋喃酮,4-hydroxy-5-methyl-3(2H)-furanone,,,焦糖香、甜香,酱油
五、发酵食品 Fermented Foods,酱油,呋喃/呋喃酮类,糠醛（呋喃甲醛）,5-ethylfurfural,98-01-1,"6.000 ppm（水中香气检测阈值；鲜奶油感知模型）；20,000 mg/L；500 μg/L（原文引用嗅觉阈值",甜香、杏仁香、木香、烘焙香、焦香、甜香、杏仁香、面包香、异臭、木香、甜香木香,米酒/黄酒、食醋（山西老陈醋）、白酒（浓香型）、茶叶（红茶）、蚝油、酱油、酿造醋、黄酒、咖啡、白酒（浓香型、陈酿）、白酒（各香型）、醋、烘烤食品、牛乳、茶叶（白茶）、黄油
五、发酵食品 Fermented Foods,食醋,呋喃/呋喃酮类,5-甲基-2(3H)-呋喃酮,5-methyl-2(3h)-furanone,591-12-8,,巧克力香,食醋（山西老陈醋）
五、发酵食品 Fermented Foods,酱油,呋喃/呋喃酮类,二氢-2-甲基-3(2H)-呋喃酮,Dihydro-2-methyl-3(2H)-furanone,,,焦糖香,酱油
五、发酵食品 Fermented Foods,酱油,呋喃/呋喃酮类,二氢-5-甲基-3(2H)-呋喃酮,Dihydro-5-methyl-3(2H)-furanone,,,焦糖香、甜香,酱油
五、发酵食品 Fermented Foods,白酒,呋喃/呋喃酮类,呋喃-2-甲醛,Furan-2-carbaldehyde,,"44,029.73 μg/L（乙醇-水体系）",烘烤面包香,白酒（浓香型、陈酿）
五、发酵食品 Fermented Foods,米酒/黄酒,烃类,"1,2-二甲氧基苯","1,2-dimethoxybenzene",91-16-7,,,米酒/黄酒
五、发酵食品 Fermented Foods,米酒/黄酒,烃类,"1,3-二甲苯（间二甲苯）","1,3-xylene",108-38-3,,,米酒/黄酒
五、发酵食品 Fermented Foods,米酒/黄酒,烃类,"2,6-二叔丁基-4-甲基苯酚",Butylated hydroxytoluene,128-37-0,,,米酒/黄酒、茶叶（黄茶）
五、发酵食品 Fermented Foods,米酒/黄酒,烃类,Cyclooctane,Cyclooctane,292-64-8,,,米酒/黄酒
五、发酵食品 Fermented Foods,酱油,烃类,十二烷,Dodecane,112-40-3,,烷烃气味,牛乳（奶粉）、酱油
五、发酵食品 Fermented Foods,米酒/黄酒,烃类,乙苯,Ethylbenzene,100-41-4,,金属味、酚香、化学品气味、芳香花香,奶油（鲜奶油香气模型）、牛乳、米酒/黄酒、茶叶（白茶）
五、发酵食品 Fermented Foods,酱油,烃类,十六烷,Hexadecane,544-76-3,,烷烃气味,牛乳（奶粉）、茶叶（黄茶）、酱油
五、发酵食品 Fermented Foods,米酒/黄酒,烃类,甲基十五烷基醚,Methyl pentadecane ether,,,,米酒/黄酒
五、发酵食品 Fermented Foods,酱油,烃类,萘,Naphthalene,91-20-3,159 a μg/L（水/乙醇体系）；6 mg/L；- μg/L（原文引用嗅觉阈值；用于茶叶OAV计算）,樟脑丸气味-、其他特征,白酒（浓香型）、米酒/黄酒、茶叶（红茶）、茶叶（黄茶）、酱油
五、发酵食品 Fermented Foods,米酒/黄酒,烃类,o -Xylene,O -Xylene,,,,米酒/黄酒
五、发酵食品 Fermented Foods,米酒/黄酒,烃类,对二甲苯,P -Xylene,106-42-3,,甜香花香,米酒/黄酒、茶叶（白茶）
五、发酵食品 Fermented Foods,食醋,萜烯类,芳樟醇氧化物,Linalool oxide,1365-19-1,,花香,食醋（山西老陈醋）
